Collection,Year,Part,Model,Number,Stamp,Condition,Origin,URL,Tags,Quantity,Image,Note
MBX Heroic Rescue,2016,64/125,Wheelin’ Wrecker,,,Opened,Flea Market,,,,,
MBX Hometown Heroes,2002,3/4,Street Sweeper,3/75,,Opened,Flea Market,,,,,
Rod Squad,2026,2/10,Pedal Driver,118/250,,Opened,Publix,,,,,
HW Metro,2022,21/100,1976 Honda Civic CVCC,,R18A,New on card,Flea Market,,,,,
Nightburnerz,2019,2/10,1985 Honda City Turbo II,81/250,,New on card,Flea Market,,,,1985 Honda City Turbo II (Nightburnerz 2019) [blue].jpeg,
HW Turbo,2022,2/10,1985 Honda City Turbo II,13/250,,New on card,Flea Market,,,,,
HW Speed Graphics,2018,10/10,1985 Honda City Turbo II,190/365,,New on card,Flea Market,,,,,
Exoticars,2026,5/10,McLaren W1,74/250,,Opened,Grandpa,,,,,
Then and Now,2025,4/10,1996 Dodge Viper GTS,176/250,,Opened,Grandpa,,,,,
Drop Tops,2026,3/5,Porsche 911 Turbo Cabriolet,52/250,,Opened,Grandpa,,,,,
Nightspeed,2026,4/10,1970 Dodge Hemi Challenger,36/250,,Opened,Grandpa,,,,,
Then and Now,2026,2/10,Datsun 240Z,72/250,,Opened,Grandpa,,,,,
HW Screen Time,2026,2/10,HW K.I.T.T. Concept,28/250,,Opened,Grandpa,,,,,Knight Rider
Wagons,2026,4/5,Gone Mad,244/250,,Opened,Grandpa,,,,,
HW J-Imports,2025,4/5,Hako Type D,98/250,,Opened,Grandpa,,,,,Hot Wheels Let’s Race
Color Shifters,2025,,Volkswagen Drag Bus,,U35A,Opened,Walmart,,,,,
HW Reverse Rake,2025,1/5,Cruise Bruiser,91/250,,Opened,Grandpa,,,,,
Champion Crashers,2026,7/8,Hot Wheels Fire Rescue,,,Opened,Archer,,Monster,,,
Then and Now,2026,6/10,2020 Toyota GR Supra,157/250,,New on card,Target,,,,,
Factory Fresh,2026,1/5,Porsche 911 Carrera T,15/250,,New on card,Target,,,,,
Mattel,2026,5/5,Custom Otto,156/250,,New on card,Target,,,,,
HW Dream Garage,2026,5/5,Tooned Purple Passion,148/250,,Opened,Target,,,,,Tooned
HW Dream Garage,2026,4/5,2 Jet Z,147/250,,New on card,Target,,TH,,,
HW Screen Time,2026,3/10,The Simpsons Family Car,108/250,,New on card,Dollar Tree,,,,,
Nightspeed,2026,2/10,2020 Ford Mustang Shelby GT500,10/250,,New on card,Dollar Tree,,,,,
Exoticars,2026,8/10,2016 Ford GT Race,124/250,,New on card,Dollar Tree,,TH,,,
Drop Tops,2026,2/5,1992 Dodge Viper RT/10,29/250,,New on card,Dollar General,,TH,,,
Muscle Mania,2026,10/10,1983 Porsche 928S,,,New on card,Dollar General,,,,,Exclusive
Then and Now,2026,5/10,Land Rover Defender 90,,,New on card,Dollar General,,,,,Exclusive
Peak Pursuit,2026,9/10,Ford RS200,,,New on card,Dollar General,,,,,Exclusive
HW Metro,2024,1/10,Brickin' Delivery,104/250,,Opened,Flea Market,,,,,
Experimotors,2022,2/10,Bricking Trails,27/250,,Opened,Flea Market,,,,,
Experimotors,2022,9/10,Bricking Speed,165/250,,Opened,Flea Market,,,,,
Experimotors,2024,1/5,Brick And Motor,25/250,,Opened,Flea Market,,,,,
Experimotors,2022,8/10,Custom Small Block,151/250,,Opened,Flea Market,,,,,
HW Art Cars,2020,8/10,Rodger Dodger,67/250,,New on card,Flea Market,,,,,Track Stars
HW Starting Grid,2026,8/10,Cone Shaker,122/250,,Opened,Flea Market,,TH,,,
HW Screen Time,2017,3/10,1968 Corvette - Gas Monkey Garage,99/365,,New on card,Flea Market,,,,,
HW Drag Strip,2023,7/10,Honda Civic Custom,172/250,,New on card,Flea Market,,,,,
2007 All Stars,2007,06,Old Number 5.5,191/223,,Opened,Flea Market,,,,,type:Fire truck
HW Glow Wheels,2017,5/10,24 Ours,189/365,,Used,Flea Market,,,,,Glow in the dark
HW Glow Wheels,2017,1/10,Track Hammer,232/365,,Used,Flea Market,,,,,Glow in the dark
HW Race - Night Storm,2014,,Two Timer,190/250,,Used,Flea Market,,,,,Glow in the dark
HW Imagination,2013,,Semi-Psycho,58/250,,Used,Flea Market,,,,,
Race World: City,2010,1/4,5 Alarm,181/250,,Used,Flea Market,,,,,type:Fire truck
Thrill Racers - Raceway,2011,6/6,Fire-Eater,222/244,,Used,Flea Market,,,,,type:Fire truck
Double Jump Duel 5-pack,2014,,Draggin' Tail,,,Used,Flea Market,,,,,
Experimotors,2020,9/10,The Embosser,54/250,,Used,Flea Market,,,,,
HW Rescue,2020,9/10,Sky Boat,230/250,,Used,Flea Market,,,,,
Mainline,1992,,Recycling Truck,143,,Used,Flea Market,,,,,
HW Fun Park,2018,5/5,Bazoomka,191/250,,Used,Flea Market,,,,,
MBX CIty Drivers,2022,,MBX Service Truck,,,Used,Flea Market,,,,,
MBX Metro Transit 5-pack,2018,,Swift Shuttle,,,Used,Flea Market,,,,,type:Bus
MBX Airport 5-pack,2021,,Swift Shuttle,,,Used,Flea Market,,,,,type:Bus
MBX Jurassic World 5-pack: Island Explorers,2019,,Fleetwood,,,Used,Flea Market,,,,,
World’s Smallest Hot Wheels - Series 10,2025,,Sooo Fast,,,Opened,Grandpa,,Micro,,,
Mud Studs 5-pack,2026,,Baja Bison T5,,,Opened,Sissy,,,,,
Color Shifters,2026,,Zombot,,,Opened,Walmart,,,,,Rock ‘em Sock ‘em Robots
MBX Japan Cruisers II,2025,,Subaru SVX,,,Opened,Grandpa,,,,,
MBX Japan Cruisers II,2025,,1992 Mazda Autozam AZ-1,,,Opened,Grandpa,,,,,
MBX Japan Cruisers II,2025,,1994 Lexus LS 400,,,Opened,Grandpa,,,,,
MBX Japan Cruisers II,2025,,Nissan 350Z,,,Opened,Grandpa,,,,,
MBX Japan Cruisers II,2025,,2004 Mazda RX-8,,,Opened,Grandpa,,,,,
Fast & Furious 5-pack,2025,,Porsche 911 GT3 RS,,,Opened,Grandpa,,,,,
MBX Road Trip,2022,,Opel Kadett Coupe,,,Opened,Grandpa,,,,,
Fast & Furious 5-pack,2025,,Nissan Silvia (S13),,,Opened,Grandpa,,,,,
HW  Getaways 5-pack,2025,,Rockster,,,Opened,Grandpa,,,,,
HW  Getaways 5-pack,2025,,RV There Yet,,,Opened,Grandpa,,,,,
Fast & Furious 5-pack,2025,,1968 Plymouth Barracuda Formula S,,,Opened,Grandpa,,,,,
Wild Widebody,2025,4/5,Jaguar XJC V12 Coupe,238/250,,Opened,Grandpa,,,,,
Fast & Furious 5-pack,2025,,1966 Chevy Impala TM GM,,,Opened,Grandpa,,,,,
HW  Getaways 5-pack,2025,,Classic 1955 Nomad,,,Opened,Grandpa,,,,,
HW Wagons,2023,5/5,Chevy Nomad,243/250,,Opened,Grandpa,,,,,
Fast & Furious 5-pack,2025,,1970 Dodge Charger,,,Opened,Grandpa,,,,,
Color Shifters,2026,,Shark Hammer 2.0,,,Opened,Walmart,,,,,
Color Shifters,2026,,Tooned Twin Mill,,,Opened,Walmart,,,,,
2001 First Editions,2001,21/36,Fright Bike,033,,Opened,Flea Market,,,,,type:Motorcycle
1995 Model Series,1995,2/12,Mercedes SL,,,Opened,Flea Market,,,,,
2003 First Editions,2003,26/42,Sand Stinger,038,,Opened,Flea Market,,,,,
HW Rescue,2022,9/10,Water Bomber,231/250,,Opened,Flea Market,,,,,type:Plane
Surf 'N Fun,1999,3/4,1955 Chevy,963,,Opened,Flea Market,,,,,
2001 First Editions,2001,28/36,XS-IVE,040,,Used,Flea Market,,,,,
HW Winter,2023,2/5,Mini Cooper S Challenge,,,Opened,Flea Market,,,,,
Color Shifters,2014,34/48,1957 Chevy,,,Opened,Flea Market,,,,,
HW Spring,2022,5/5,Sky Dome,,,Opened,Flea Market,,,,,
2006 First Editions,2006,20/38,Hammer Sled,020,,Opened,Flea Market,,,,,type:Motorcycle
Exoticars,2026,4/10,Pagani Zonda Cinque,26/250,,Opened,Mommy,,,,,Tooned
Batman,2026,4/5,Classic TV Series Batmobile,144/250,,Opened,Mommy,,,,,
HW All Drivers Welcome,2026,2/5,Flippin Fast,135/250,U51N,Opened,Dollar Tree,,,,,
Color Shifters,2026,,Group C Fantasy,,,Opened,Mommy,,,,,
Color Shifters,2026,,Track Manga,,,Opened,Mommy,,,,,
European Cars Series,2026,5/5,2023 Alfa Romeo Tonale,,,Opened,Grandpa,,,,,
Muscle Mania,2025,10/10,1983 Porsche 928S,250/250,,Opened,Grandpa,,,,,
Factory Fresh,2026,3/5,Ford Mustang GTD,43/250,,Opened,Grandpa,,,,,
Peak Pursuit,2026,9/10,Ford RS200,247/250,,Opened,Bob & Isa,,,,,
Then and Now,2025,4/10,1996 Dodge Viper GTS,176/250,,Opened,Bob & Isa,,,,,
HW Wagons,2026,1/5,Drift’n Break,183/250,,Opened,,,,,,
Fast Foodie,2025,5/5,Hot Wheengs,197/250,,Opened,,,,,,
HW Track Champs,2025,1/5,Terra-Tracktyl,204/250,,Opened,,,,,,
HW Ride-Ons,2025,1/5,Power Wheels Dune Racer,22/250,,Opened,,,,,,Hot Wheels Let’s Race
HW Euro,2026,4/10,Volkswagen ID. Buzz Bomb,86/250,,Opened,Archer,,,,,
Tooned,2026,2/5,Deora Too'nd,143/250,,Opened,Dollar Tree,,,,,
Layin' Low,2026,5/5,La Troca,137/250,,Opened,Dollar Tree,,,,,
Drag Racers,2026,5/10,1968 Dodge Dart,104/250,,Opened,Grandpa,,,,,
Experimotors,2025,5/10,Crate Racer,160/250,,Opened,,,,,,
Hot Wheels Let’s Race,2025,1/5,Super Twin Mill,19/250,,Opened,,,,,,
Sweet Rides,2026,3/5,Birthday Burner,82/250,,Opened,Dollar Tree,,,,,
HW Fan Driver,2026,4/5,El Segundo Coupe,96/250,,Opened,Grandpa,,,,,
Hybrid Speed,2026,4/5,Porsche Panamera Turbo S E-Hybrid Sport Turismo,,,Opened,Grandpa,,Silver,,,
Tooned,2026,4/5,Manga Tuner,,,Opened,Grandpa,,Silver,,,
Drag Racers,2026,3/10,Pass’n Gasser,102/250,,Opened,Mommy,,,,,
Mattel,2026,2/5,Monster High Ghoul Mobile,48/250,,Opened,Dollar Tree,,,,,
Muscle Mania,2025,4/10,Ravenger S/T,207/250,,Opened,Grandpa,,,,,
Track Champs,2026,2/5,Blitzspeeder,215/250,,Opened,Mommy,,,,,
Then and Now,2026,5/10,2023 Nissan Z,121/250,,Opened,Mommy,,,,,
Nightspeed,2026,7/10,2016 Cadillac ATS-V R,90/250,,Opened,Mommy,,,,,
70s vs 90s,2025,5/10,BMW 2002,77/250,,Opened,Grandpa,,,,,
HW EV,2025,8/10,Custom Kia EV6,120/250,,Opened,Grandpa,,,,,
Safari Mode,2026,1/5,Lamborghini Huracan Sterrato,41/250,,Opened,Grandpa,,,,,
Batman,2026,1/5,Batmobile,4/250,,Opened,Grandpa,,,,,
HW Fan Driven,2026,1/5,Deora II,18/250,,Opened,Dollar Tree,,,,,
Hot Wheels Let’s Race,2026,2/5,Mountain Mauler,179/250,,Opened,Mommy,,,,,
Fast & Furious,2026,3/5,2003 Honda NSX-R,,,New on card,Target,,PREMIUM,,,
Experimotors,2026,5/5,Twin Tags,166/250,,New on card,Target,,,,,
Truckin Along,2026,5/5,Ford F-150 Lightning Supertruck,151/250,,Opened,Mommy,,,,,
Color Shifters,2026,,Batmobile,,,Opened,Walmart,,,,,
HW Flames,2018,2/10,1955 Chevy,300/365,,Used,Dima,,,,,
2007 New Models,2007,4/36,1969 Ford Mustang,4/180,,Used,Dima,,,,,
2010 New Models,2010,4/44,Volkswagen Beetle,4/240,,Used,Dima,,,,,
MBX Police Rescue 5-pack,2016,,2000 Chevrolet Suburban,,,Used,Dima,,,,,
Color Shifters,2026,,Blade Raider,,,Opened,Walmart,,,,,
HW J-Imports,2026,6/10,Honda Odyssey,149/250,,New on card,Dollar Tree,,,,,
MBX Rescue,2026,,Blaze Blaster III,53/125,,Opened,Dollar Tree,,,,lime,
MBX CIty Drivers V,2025,,City Bus,,,Used,Trade,,,,,type:Bus / u/Competitive_Web_4170
Super Rigs,2025,,Red Planet Transport + Da'Kar,,,Used,Trade,,,,,u/Competitive_Web_4170
Super Rigs,2025,,Big Rig Heat + F1 Racer,,,Used,Trade,,,,,u/Competitive_Web_4170
MBX Adventure,2026,82/125,SHERP N1200,,,Opened,Walmart,,,,,
MBX Adventure,2026,38/125,Volkswagen Beetle 4x4,,,Opened,Dollar Tree,,,,,
MBX Snow,2026,39/125,Plowverizer,,,Opened,Dollar Tree,,,,,Highway Maintenance Truck
